dbo_LINE_LINE_ID,TRAIT_NM,TRAIT_DSC,OBSRV_NT_NBR,OBSRV_EFF_TSP,CNTRY_NM,REGN_NM,LOC_NM,COOP_LOC_NM
253721,PLUMP BARLEY,Barley Plump Percent >6/64,72.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253524,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,10.7,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253531,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253546,MIDS BARLEY,Mids Barley Percent,32.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253527,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.8,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253531,PLUMP BARLEY,Barley Plump Percent >6/64,64.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253546,PLUMP BARLEY,Barley Plump Percent >6/64,62.7,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253546,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253523,PLUMP BARLEY,Barley Plump Percent >6/64,63.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253527,MIDS BARLEY,Mids Barley Percent,22.5,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253523,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253531,MIDS BARLEY,Mids Barley Percent,32.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253525,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,10.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253527,PLUMP BARLEY,Barley Plump Percent >6/64,71.3,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253523,MIDS BARLEY,Mids Barley Percent,32.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253525,MIDS BARLEY,Mids Barley Percent,28.9,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253527,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253889,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,11.7,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253721,MIDS BARLEY,Mids Barley Percent,23.3,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253523,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,8.8,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253720,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253525,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253889,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253889,PLUMP BARLEY,Barley Plump Percent >6/64,77.6,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253889,MIDS BARLEY,Mids Barley Percent,18.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253521,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253525,PLUMP BARLEY,Barley Plump Percent >6/64,66.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253546,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.5,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253720,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253530,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.6,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253530,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253720,PLUMP BARLEY,Barley Plump Percent >6/64,60.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253720,MIDS BARLEY,Mids Barley Percent,34.8,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253521,PLUMP BARLEY,Barley Plump Percent >6/64,70.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253529,MIDS BARLEY,Mids Barley Percent,32.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253530,PLUMP BARLEY,Barley Plump Percent >6/64,66,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253530,MIDS BARLEY,Mids Barley Percent,30.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253721,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253521,MIDS BARLEY,Mids Barley Percent,26.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253529,PLUMP BARLEY,Barley Plump Percent >6/64,62.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253524,PLUMP BARLEY,Barley Plump Percent >6/64,56.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253524,MIDS BARLEY,Mids Barley Percent,57.5,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253531,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,10.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253529,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253521,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253721,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,10.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253529,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,10,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253524,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253297,PLUMP BARLEY,Barley Plump Percent >6/64,88,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253298,PLUMP BARLEY,Barley Plump Percent >6/64,60.8,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253297,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.4,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253296,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,8.7,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253278,PLUMP BARLEY,Barley Plump Percent >6/64,49.7,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253278,MIDS BARLEY,Mids Barley Percent,44.5,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253150,MIDS BARLEY,Mids Barley Percent,24.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253278,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.6,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253251,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.6,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
254131,PLUMP BARLEY,Barley Plump Percent >6/64,74.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
254131,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253296,MIDS BARLEY,Mids Barley Percent,40.1,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253297,MIDS BARLEY,Mids Barley Percent,10.9,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253150,PLUMP BARLEY,Barley Plump Percent >6/64,70.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
254131,B PROTEIN DSB WGA,Barley Protein (DSB) Prediction on WGA,9.2,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
253298,THINS BARLEY,Barley Thin Percent <5.5/64,0,3/27/2018 14:50:45,RUSSIA,RUSSIA,SARANSK,SARANSK 2017
